"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2021M02","All main airports","Estonia","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Finland","All directions","All flights","Thousand","0.3"
"Passengers","2021M02","All main airports","France","All directions","All flights","Thousand","7.2"
"Passengers","2021M02","All main airports","Germany","All directions","All flights","Thousand","3"
"Passengers","2021M02","All main airports","Greece","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Hungary","All directions","All flights","Thousand","2.1"
"Passengers","2021M02","All main airports","Italy","All directions","All flights","Thousand","2.2"
"Passengers","2021M02","All main airports","Latvia","All directions","All flights","Thousand","0.6"
"Passengers","2021M02","All main airports","Lithuania","All directions","All flights","Thousand","1.9"
"Passengers","2021M02","All main airports","Luxembourg","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Malta","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Netherlands","All directions","All flights","Thousand","9.6"
"Passengers","2021M02","All main airports","Poland","All directions","All flights","Thousand","8"
"Passengers","2021M02","All main airports","Portugal","All directions","All flights","Thousand","2.4"
"Passengers","2021M02","All main airports","Romania","All directions","All flights","Thousand","4.2"
"Passengers","2021M02","All main airports","Slovakia","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Slovenia","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Spain","All directions","All flights","Thousand","6.7"
"Passengers","2021M02","All main airports","Canary Islands","All directions","All flights","Thousand","2.9"
"Passengers","2021M02","All main airports","Sweden","All directions","All flights","Thousand","1"
"Passengers","2021M02","All main airports","United Kingdom (1)","All directions","All flights","Thousand","21.6"
"Passengers","2021M02","All main airports","England","All directions","All flights","Thousand","19.2"
"Passengers","2021M02","All main airports","Northern Ireland","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Scotland","All directions","All flights","Thousand","1.9"
"Passengers","2021M02","All main airports","Wales","All directions","All flights","Thousand","0.5"
"Passengers","2021M02","All main airports","Other UK (1)","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Iceland","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Norway","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Russia","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Serbia","All directions","All flights","Thousand","0"
"Passengers","2021M02","All main airports","Switzerland","All directions","All flights","Thousand","0.3"
"Passengers","2021M02","All main airports","Turkey","All directions","All flights","Thousand","4.9"
"Passengers","2021M02","All main airports","Other Europe (25)","All directions","All flights","Thousand","2.6"
